crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-44.712959	1299	0.000000
281474976710655.000000	-46.041462	1300	0.000000
281474976710655.000000	-47.211849	1301	0.000000
281474976710655.000000	-41.903973	1302	0.000000
281474976710655.000000	-49.867409	1303	0.000000
281474976710655.000000	-41.971531	1304	0.000000
281474976710655.000000	-45.219067	1305	0.000000
281474976710655.000000	-42.364346	1306	0.000000
281474976710655.000000	-34.807789	1307	0.000000
281474976710655.000000	-33.285645	1308	0.000000
281474976710655.000000	-39.443695	1309	0.000000
281474976710655.000000	-38.878998	1310	0.000000
281474976710655.000000	-54.224354	1311	0.000000
281474976710655.000000	-47.638496	1312	0.000000
281474976710655.000000	-37.059978	1313	0.000000
281474976710655.000000	-54.835957	1314	0.000000
281474976710655.000000	-35.716331	1315	0.000000
281474976710655.000000	-44.503716	1316	0.000000
281474976710655.000000	-40.741879	1317	0.000000
281474976710655.000000	-40.114334	1318	0.000000
281474976710655.000000	-40.816917	1319	0.000000
281474976710655.000000	-47.248425	1320	0.000000
281474976710655.000000	-42.586597	1321	0.000000
281474976710655.000000	-38.724388	1322	0.000000
281474976710655.000000	-46.650803	1323	0.000000
281474976710655.000000	-37.823284	1324	0.000000
281474976710655.000000	-41.797180	1325	0.000000
281474976710655.000000	-41.193989	1326	0.000000
281474976710655.000000	-45.943829	1327	0.000000
281474976710655.000000	-44.791065	1328	0.000000
281474976710655.000000	-39.827293	1329	0.000000
281474976710655.000000	-34.672455	1330	0.000000
281474976710655.000000	-38.244045	1331	0.000000
281474976710655.000000	-39.706928	1332	0.000000
281474976710655.000000	-46.297451	1333	0.000000
281474976710655.000000	-34.760513	1334	0.000000
281474976710655.000000	-32.855297	1335	0.000000
281474976710655.000000	-37.992802	1336	0.000000
281474976710655.000000	-42.610779	1337	0.000000
281474976710655.000000	-34.504452	1338	0.000000
281474976710655.000000	-39.246632	1339	0.000000
281474976710655.000000	-41.878384	1340	0.000000
281474976710655.000000	-43.727142	1341	0.000000
281474976710655.000000	-42.453678	1342	0.000000
281474976710655.000000	-35.092846	1343	0.000000
281474976710655.000000	-45.598892	1344	0.000000
281474976710655.000000	-34.748798	1345	0.000000
281474976710655.000000	-37.506596	1346	0.000000
281474976710655.000000	-39.303905	1347	0.000000
281474976710655.000000	-40.174984	1348	0.000000
281474976710655.000000	-43.095615	1349	0.000000
281474976710655.000000	-36.348503	1350	0.000000
281474976710655.000000	-37.208839	1351	0.000000
281474976710655.000000	-38.103485	1352	0.000000
281474976710655.000000	-39.322411	1353	0.000000
281474976710655.000000	-31.460825	1354	0.000000
281474976710655.000000	-37.359909	1355	0.000000
281474976710655.000000	-37.512218	1356	0.000000
281474976710655.000000	-35.500385	1357	0.000000
281474976710655.000000	-30.690369	1358	0.000000
281474976710655.000000	-42.829021	1359	0.000000
281474976710655.000000	-38.732128	1360	0.000000
281474976710655.000000	-42.205070	1361	0.000000
281474976710655.000000	-34.949738	1362	0.000000
281474976710655.000000	-39.514736	1363	0.000000
281474976710655.000000	-37.557178	1364	0.000000
281474976710655.000000	-38.803322	1365	0.000000
281474976710655.000000	-40.158051	1366	0.000000
281474976710655.000000	-31.891830	1367	0.000000
281474976710655.000000	-40.205643	1368	0.000000
281474976710655.000000	-41.700699	1369	0.000000
281474976710655.000000	-37.400932	1370	0.000000
281474976710655.000000	-34.644600	1371	0.000000
281474976710655.000000	-39.019325	1372	0.000000
281474976710655.000000	-39.781574	1373	0.000000
281474976710655.000000	-36.010021	1374	0.000000
281474976710655.000000	-38.127644	1375	0.000000
281474976710655.000000	-44.074085	1376	0.000000
281474976710655.000000	-38.408508	1377	0.000000
281474976710655.000000	-42.231907	1378	0.000000
281474976710655.000000	-36.858425	1379	0.000000
281474976710655.000000	-47.034473	1380	0.000000
281474976710655.000000	-39.438354	1381	0.000000
281474976710655.000000	-36.775318	1382	0.000000
281474976710655.000000	-46.453613	1383	0.000000
281474976710655.000000	-34.628918	1384	0.000000
281474976710655.000000	-37.182400	1385	0.000000
281474976710655.000000	-41.568779	1386	0.000000
281474976710655.000000	-32.664307	1387	0.000000
281474976710655.000000	-46.671268	1388	0.000000
281474976710655.000000	-32.245636	1389	0.000000
281474976710655.000000	-45.016598	1390	0.000000
281474976710655.000000	-38.837551	1391	0.000000
281474976710655.000000	-43.869465	1392	0.000000
281474976710655.000000	-39.978813	1393	0.000000
281474976710655.000000	-33.861561	1394	0.000000
281474976710655.000000	-41.306175	1395	0.000000
281474976710655.000000	-46.445465	1396	0.000000
281474976710655.000000	-37.502556	1397	0.000000
281474976710655.000000	-33.528027	1398	0.000000
281474976710655.000000	-36.443687	1399	0.000000
281474976710655.000000	-42.593109	1400	0.000000
281474976710655.000000	-35.830620	1401	0.000000
281474976710655.000000	-36.175472	1402	0.000000
281474976710655.000000	-35.429749	1403	0.000000
281474976710655.000000	-30.948841	1404	0.000000
281474976710655.000000	-43.163437	1405	0.000000
281474976710655.000000	-35.042885	1406	0.000000
281474976710655.000000	-37.915695	1407	0.000000
281474976710655.000000	-37.522614	1408	0.000000
281474976710655.000000	-36.176617	1409	0.000000
281474976710655.000000	-38.882278	1410	0.000000
281474976710655.000000	-35.582169	1411	0.000000
281474976710655.000000	-31.226437	1412	0.000000
281474976710655.000000	-36.838650	1413	0.000000
281474976710655.000000	-35.737270	1414	0.000000
281474976710655.000000	-35.801872	1415	0.000000
281474976710655.000000	-34.959015	1416	0.000000
281474976710655.000000	-29.849913	1417	0.000000
281474976710655.000000	-32.030106	1418	0.000000
281474976710655.000000	-34.595509	1419	0.000000
281474976710655.000000	-35.875217	1420	0.000000
281474976710655.000000	-37.896309	1421	0.000000
281474976710655.000000	-31.454428	1422	0.000000
281474976710655.000000	-34.787945	1423	0.000000
281474976710655.000000	-37.383236	1424	0.000000
281474976710655.000000	-31.355183	1425	0.000000
281474976710655.000000	-36.116375	1426	0.000000
281474976710655.000000	-38.242165	1427	0.000000
281474976710655.000000	-35.531052	1428	0.000000
281474976710655.000000	-39.491169	1429	0.000000
281474976710655.000000	-35.432648	1430	0.000000
281474976710655.000000	-33.649231	1431	0.000000
281474976710655.000000	-32.295177	1432	0.000000
281474976710655.000000	-37.560719	1433	0.000000
281474976710655.000000	-35.505100	1434	0.000000
281474976710655.000000	-30.133801	1435	0.000000
281474976710655.000000	-32.898407	1436	0.000000
281474976710655.000000	-35.163704	1437	0.000000
281474976710655.000000	-35.760029	1438	0.000000
281474976710655.000000	-31.935064	1439	0.000000
281474976710655.000000	-35.111069	1440	0.000000
281474976710655.000000	-34.665817	1441	0.000000
281474976710655.000000	-40.956734	1442	0.000000
281474976710655.000000	-30.539389	1443	0.000000
281474976710655.000000	-43.971153	1444	0.000000
281474976710655.000000	-33.936821	1445	0.000000
281474976710655.000000	-41.243492	1446	0.000000
281474976710655.000000	-30.195240	1447	0.000000
281474976710655.000000	-33.556648	1448	0.000000
281474976710655.000000	-39.238701	1449	0.000000
281474976710655.000000	-38.905056	1450	0.000000
281474976710655.000000	-31.525160	1451	0.000000
281474976710655.000000	-36.412052	1452	0.000000
281474976710655.000000	-44.006641	1453	0.000000
281474976710655.000000	-36.804665	1454	0.000000
281474976710655.000000	-40.739883	1455	0.000000
281474976710655.000000	-33.297459	1456	0.000000
281474976710655.000000	-34.645565	1457	0.000000
281474976710655.000000	-37.475655	1458	0.000000
281474976710655.000000	-36.107719	1459	0.000000
281474976710655.000000	-39.908901	1460	0.000000
281474976710655.000000	-37.467640	1461	0.000000
281474976710655.000000	-31.313391	1462	0.000000
281474976710655.000000	-35.158798	1463	0.000000
281474976710655.000000	-36.270966	1464	0.000000
281474976710655.000000	-35.840134	1465	0.000000
281474976710655.000000	-31.843702	1466	0.000000
281474976710655.000000	-36.163921	1467	0.000000
281474976710655.000000	-37.625488	1468	0.000000
281474976710655.000000	-31.136562	1469	0.000000
281474976710655.000000	-38.538437	1470	0.000000
281474976710655.000000	-38.705013	1471	0.000000
281474976710655.000000	-32.369045	1472	0.000000
